,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
174,0.1279287,0.107933946,0.13407762,0.1452767,0.118005216
175,0.80517375,0.006783274,0.021665439,0.011891214,0.0051271073
176,0.08195694,0.055520274,0.07652336,0.07958367,0.054043874
177,0.06545928,0.04831646,0.05843048,0.06001314,0.0330615
178,0.1431282,0.08737089,0.07952436,0.110363364,0.06711019
179,0.33947477,0.33947477,0.33947477,0.33947477,0.33947477
180,0.4412162,0.14918336,0.1609835,0.15525636,0.151514
181,0.05037968,0.05037968,0.05037968,0.05037968,0.05037968
182,0.7218481,0.17433563,0.17362632,0.20387071,0.17611054
183,0.09472815,0.055380523,0.08922451,0.085172154,0.06944395
184,0.63810855,0.82887983,0.87847275,0.85202354,0.84613216
185,0.44630036,0.5154597,0.5181615,0.51595634,0.5154597
186,0.5202073,0.51196593,0.5892817,0.5621219,0.5876557
187,0.052309632,0.08725704,0.11573716,0.14310814,0.08735338
188,0.18281862,0.14946665,0.1527616,0.15250377,0.11861177
189,0.15996315,0.15996315,0.15996315,0.15996315,0.15996315
190,0.5153925,0.052731894,0.05657875,0.06698216,0.053480476
191,0.77015066,0.346259,0.40778196,0.40933645,0.35411656
192,0.077370524,0.10421792,0.08003642,0.13555117,0.06565212
193,0.09669656,0.09669656,0.09669656,0.09669656,0.09669656
194,0.09256108,0.069787666,0.089825705,0.0871024,0.082422026
195,0.46543556,0.46543556,0.46543556,0.46543556,0.46543556
196,0.1300832,0.15041982,0.17228876,0.1547887,0.1412437
197,0.31089434,0.46835986,0.51202315,0.50680625,0.4851452
198,0.93255967,0.11383104,0.15142873,0.14966719,0.15190418
199,0.06805405,0.06805405,0.06805405,0.06805405,0.06805405
200,0.08503271,0.08503271,0.08503271,0.08503271,0.08503271
201,0.0745478,0.018575441,0.03420236,0.035167653,0.022954715
202,0.36830914,0.36830914,0.36830914,0.36830914,0.36830914
203,0.35332614,0.31089434,0.36665586,0.35863623,0.23989779
204,0.3309003,0.3309003,0.3309003,0.3309003,0.3309003
205,0.24961953,0.2455009,0.261277,0.30893472,0.27284533
206,0.8355208,0.8355208,0.8355208,0.8355208,0.8355208
207,0.47350222,0.6364068,0.69542736,0.69542736,0.6641041
208,0.08906212,0.09331126,0.10356546,0.11649701,0.1143148
209,0.31089434,0.32720843,0.40339652,0.43449506,0.31849954
210,0.71996623,0.31089434,0.31089434,0.32120815,0.27291697
211,0.8339652,0.072862186,0.05797455,0.06998115,0.042730946
212,0.03074951,0.03074951,0.03074951,0.03074951,0.03074951
