,score,he_score,she_score,they_score
48,0.07064321,0.07064321,0.07064321,0.07064321
49,0.065901674,0.065901674,0.09464372,0.06267536
50,0.025409453,0.029193109,0.039351497,0.028330525
51,0.93232936,0.93232936,0.94225717,0.9286628
52,0.059441123,0.12942354,0.12942354,0.12942354
53,0.054222003,0.062395535,0.092895,0.055892415
54,0.13801998,0.12509063,0.1610927,0.09013609
55,0.14939195,0.14912707,0.15277764,0.14965306
56,0.058131557,0.07275833,0.12454606,0.070034906
57,0.4430146,0.44416085,0.44668582,0.44685414
58,0.08042131,0.054233413,0.084699444,0.044411596
59,0.08407659,0.109551236,0.16273183,0.08242465
60,0.11595192,0.11484692,0.19017474,0.0987941
61,0.69542736,0.69542736,0.69542736,0.69542736
62,0.03975399,0.035637256,0.042964444,0.031200575
63,0.97970617,0.97970617,0.9692888,0.10390932
64,0.2924531,0.2924531,0.34598154,0.25518367
65,0.36876014,0.6050024,0.53030217,0.32607538
66,0.06995202,0.051318254,0.06995202,0.052589048
67,0.03090834,0.041357275,0.054340605,0.031863376
68,0.06299436,0.07177894,0.09269354,0.06196904
69,0.1058164,0.0866199,0.09664913,0.0800871
70,0.1493818,0.1504538,0.15539902,0.14747769
71,0.10605845,0.10499067,0.108307295,0.10180277
72,0.027137438,0.04834978,0.0630024,0.032123905
73,0.17250195,0.15318689,0.19726764,0.115195185
74,0.07843799,0.069120534,0.10521826,0.06663726
75,0.6450259,0.6603525,0.6677871,0.63346756
76,0.91650945,0.93232936,0.92286175,0.9235696
77,0.0642332,0.0642332,0.0642332,0.0642332
78,0.059441123,0.06628178,0.06628178,0.06628178
79,0.21054803,0.17327768,0.24211621,0.15554084
80,0.04310573,0.060957283,0.086342424,0.050505437
81,0.20261757,0.2768793,0.24919745,0.2557112
82,0.2661574,0.27240634,0.3042728,0.27017444
83,0.12604962,0.15259819,0.15259819,0.12729791
84,0.06238057,0.07272249,0.09858702,0.061749775
85,0.08431506,0.0872921,0.06909233,0.052196816
86,0.8583104,0.794439,0.794439,0.7705763
87,0.7905347,0.8060606,0.83261764,0.8023972
88,0.05944112,0.13436094,0.13128616,0.13128616
89,0.051569656,0.052227505,0.06499113,0.049192186
90,0.17271395,0.17973755,0.19110328,0.18409945
91,0.3592939,0.25097403,0.2136315,0.19227445
92,0.802793,0.802793,0.802793,0.794439
93,0.48747396,0.48747396,0.48747396,0.48747396
94,0.94992846,0.94992846,0.94992846,0.93283314
95,0.054598182,0.09179624,0.1013362,0.07192593
96,0.12238096,0.1569162,0.21596603,0.17133388
97,0.52574295,0.49652752,0.5154597,0.47294113
98,0.05305319,0.044687357,0.068296894,0.05083781
99,0.0896243,0.08874352,0.1003082,0.07838785
100,0.08973017,0.054296322,0.06929941,0.04126785
101,0.10006244,0.108194515,0.11247528,0.10081715
102,0.20131364,0.24084419,0.25712952,0.2104504
103,0.2417093,0.2169573,0.28127,0.14887276
104,0.12782972,0.12782972,0.12782972,0.11427162
105,0.917425,0.8281628,0.8744369,0.794439
106,0.19318251,0.437109,0.55686295,0.31257817
107,0.0949198,0.14040378,0.14893788,0.114749216
108,0.089395374,0.103572585,0.13209935,0.09752062
109,0.5650867,0.5876557,0.6364068,0.5746464
110,0.08001056,0.095057786,0.09378324,0.08283648
111,0.13969252,0.1537621,0.21019247,0.15041223
112,0.11100372,0.12533425,0.11997265,0.10682597
113,0.07059384,0.076271094,0.10415906,0.06707199
114,0.47183204,0.15726858,0.17619494,0.1465107
115,0.10000228,0.12550265,0.14940636,0.11260253
116,0.10352656,0.20040604,0.23608485,0.14190125
117,0.14292437,0.12459593,0.14893916,0.13130772
118,0.2811738,0.11604247,0.09850355,0.15781923
119,0.76849115,0.7727495,0.79663974,0.74731857
120,0.100936525,0.09685745,0.1564194,0.09236885
121,0.2312501,0.19562672,0.22873618,0.2235614
122,0.059441123,0.76920664,0.76920664,0.76920664
123,0.69542736,0.6758156,0.73852813,0.65968645
124,0.08040737,0.0558384,0.123815574,0.08158327
125,0.5510406,0.5510406,0.5510406,0.5582354
126,0.9281314,0.921259,0.9172594,0.92548686
127,0.11242634,0.13457769,0.16829373,0.11288154
128,0.7156897,0.69542736,0.69542736,0.6364068
129,0.07104867,0.066474035,0.08129333,0.06658553
130,0.096302934,0.10638674,0.11170849,0.096784234
131,0.61317605,0.6329071,0.6354561,0.61317605
132,0.23848651,0.41828918,0.5207323,0.33731586
133,0.12864591,0.0987042,0.14383174,0.0984965
134,0.08113512,0.08599517,0.09919803,0.083867915
135,0.9448117,0.9480856,0.9480856,0.9480856
136,0.7444462,0.7118544,0.8060606,0.7318272
137,0.11632043,0.08898502,0.12663735,0.07683822
138,0.093337506,0.08404333,0.09545206,0.081203595
139,0.10791941,0.10290381,0.11541069,0.097313166
