,Unnamed: 0,score,Emily_score,Greg_score,Jamal_score,Lakisha_score
62,657,0.97411436,0.969431,0.97686553,0.97352725,0.9768131
63,658,0.094876744,0.097675696,0.13065405,0.14262743,0.15073566
64,659,0.090431355,0.054382686,0.05793722,0.06908527,0.06163585
65,660,0.05695071,0.023240928,0.060177714,0.059115287,0.04947195
66,661,0.43915856,0.8010345,0.8406878,0.8277948,0.7688411
67,662,0.10437544,0.08602621,0.08915683,0.09509017,0.08873864
68,663,0.1171484,0.07973303,0.08906488,0.10041221,0.0992899
69,664,0.040274587,0.049941223,0.05068432,0.07332592,0.036406077
70,665,0.060301133,0.060301133,0.060301133,0.060301133,0.060301133
71,666,0.06265187,0.084701665,0.07064673,0.098438025,0.0730625
72,667,0.124383576,0.1234632,0.15469113,0.16730677,0.15095218
73,668,0.7093121,0.7093121,0.7093121,0.7093121,0.7093121
74,669,0.81576216,0.9112049,0.9252048,0.9156528,0.9263299
75,670,0.08404578,0.09071008,0.08932756,0.103811935,0.077305585
76,671,0.16316098,0.027543256,0.058789335,0.050797336,0.032973345
77,672,0.8606264,0.114619836,0.15045306,0.15270044,0.15198782
78,673,0.06641942,0.06641942,0.06641942,0.06641942,0.06641942
79,674,0.37723693,0.66247064,0.6663692,0.6722615,0.64781713
80,675,0.7385244,0.7385244,0.7385244,0.7385244,0.7385244
81,676,0.15452923,0.15890665,0.17793065,0.17326774,0.1614986
82,677,0.11154344,0.11154344,0.11154344,0.11154344,0.11154344
83,678,0.43765646,0.1590254,0.13909744,0.19017713,0.11236644
84,679,0.94992846,0.94992846,0.94992846,0.94992846,0.94992846
85,680,0.8453369,0.087234065,0.08876854,0.119936496,0.06194261
86,681,0.14964724,0.07261492,0.06249111,0.08295175,0.06516745
87,682,0.76980895,0.23131174,0.24005067,0.24198666,0.18382701
88,683,0.44447786,0.44447786,0.44447786,0.44447786,0.44447786
89,684,0.072632484,0.08366795,0.064447016,0.08499096,0.067835435
90,685,0.31089434,0.027027702,0.057985242,0.05267584,0.037907008
91,686,0.15001963,0.111408226,0.06872272,0.102624714,0.058576047
92,687,0.09700169,0.06998077,0.048905727,0.08776253,0.040259343
93,688,0.5620228,0.064824246,0.07499117,0.093733735,0.06536412
94,689,0.69542736,0.69542736,0.7279895,0.69749725,0.7093121
95,690,0.10849162,0.07061324,0.059128806,0.07078253,0.058547854
96,691,0.31089434,0.06345342,0.070246726,0.09074151,0.059829965
97,692,0.06660386,0.07424763,0.07185886,0.071951754,0.07620948
98,693,0.11659656,0.15536433,0.18625925,0.19455615,0.16446368
99,694,0.60477585,0.063785374,0.051290493,0.07274749,0.05236216
100,695,0.07246215,0.02886493,0.035176594,0.026047887,0.044649918
101,696,0.08334002,0.08334002,0.08334002,0.08334002,0.08334002
102,697,0.102534644,0.1478864,0.12207144,0.1557178,0.10400123
103,698,0.15776119,0.091008216,0.21674766,0.1857495,0.120102294
104,699,0.24109298,0.09375279,0.051528737,0.09794506,0.037695765
105,700,0.05042718,0.032763984,0.039962396,0.05167781,0.006362894
106,701,0.24339752,0.07043327,0.08214498,0.10561106,0.06878245
107,702,0.083730094,0.029910743,0.023136593,0.035193607,0.023418749
108,703,0.889427,0.104392685,0.0825659,0.089346595,0.08166009
109,704,0.018782223,0.05826733,0.06907058,0.09180203,0.06245398
110,705,0.7446422,0.12160334,0.104787156,0.12245136,0.099219516
111,706,0.34680524,0.1804703,0.18812041,0.25064495,0.15619922
112,707,0.084598616,0.084598616,0.084598616,0.084598616,0.084598616
113,708,0.3464276,0.2560201,0.27408957,0.31089434,0.27060273
114,709,0.1316007,0.07511526,0.081222184,0.09343734,0.077097386
115,710,0.09148925,0.084263265,0.039908484,0.082495995,0.04944563
116,711,0.6217597,0.62877023,0.64149296,0.62028575,0.6364068
117,712,0.44635752,0.430999,0.46297032,0.45513988,0.45536092
118,713,0.6331589,0.031291183,0.04733905,0.03909121,0.025375001
119,714,0.11897811,0.08546233,0.09627179,0.09225255,0.0880106
120,715,0.26131114,0.0064085913,0.008785054,0.0080183195,0.005587673
121,716,0.07014333,0.07014333,0.07014333,0.07014333,0.07014333
